h;Pfree1;Pfree2;Pfree3;Pfree4
661;75.8923;145.5766;0;150.1684
662;38.883;96.856;0;109.3159
663;0;69.8226;0;83.2852
664;0;88.5124;0;112.4095
665;0;110.3056;0;144.7269
666;34.692;146.9574;16.5901;166.1224
667;18.5218;172.6962;47.591;168.5452
668;27.513;198.3901;58.0744;175.1119
669;137.575;237.349;108.7716;229.6864
670;188.1944;241.6883;122.5651;236.0807
671;213.4897;241.6883;136.3159;238.8645
672;213.9501;241.6883;133.224;238.6497
673;216.9451;241.6883;146.392;237.6105
674;212.0953;241.6883;149.0224;235.273
675;202.4243;239.9566;138.7905;234.5542
676;191.0756;236.2469;124.196;233.735
677;178.753;231.5249;104.2168;232.0644
678;183.04;231.352;92.0215;231.7782
679;183.3196;230.941;98.6595;232.3928
680;178.3671;233.3614;98.1997;229.54
681;165.5233;225.187;79.9356;230.3495
682;153.4218;223.3049;96.1681;229.9052
683;141.1351;215.6191;84.6016;230.3188
684;132.6985;182.218;38.7397;217.1856
685;101.4053;120.7788;6.5521;176.8307
686;43.6843;61.9134;0;117.4598
687;9.9203;32.1877;0;66.2848
688;24.0101;55.5691;0;81.5575
689;29.6693;67.1878;0;108.6635
690;22.5193;97.4955;0;162.8313
691;46.781;116.0294;0;150.2821
692;76.7416;153.0754;7.7401;172.3408
693;148.1942;204.3937;113.4497;231.8757
694;176.5603;227.9146;137.9309;238.7199
695;190.1963;240.5969;163.5971;240.3725
696;172.5866;240.5652;167.5156;239.9567
697;173.8727;240.6234;163.3173;239.2396
698;183.5629;239.4856;156.1231;238.2313
699;185.8204;236.7826;152.9697;236.9172
700;176.6083;233.2693;154.8714;237.4211
701;158.5905;217.8039;148.4671;235.8016
702;148.2143;209.0375;131.3174;235.0336
