h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
152,3,0,0,794.7312364,777.4376033,17.29363302,15579.84957,25000,12758.7795
153,1,329.9466054,356.7975,934.7603522,1237.186487,27.52047108,24793.21719,25000,21022.01878
153,2,318.1452938,318.9973,1166.223525,1452.068428,32.30039094,29099.4513,25000,20498.19472
153,3,605.4691324,676.412,1035.616765,1605.375287,35.71061004,32171.72076,25000,19930.50026
154,1,406.9722854,1136.443,1259.790541,1630.493477,36.26934911,32675.08929,25000,28697.10807
154,2,408.826479,517.6962,1257.936348,1630.493477,36.26934911,32675.08929,25000,28173.28401
154,3,0,41.5867,258.5961938,252.9690491,5.627144715,5069.499743,25000,0
155,1,537.3537722,1246.3165,1129.409054,1630.493477,36.26934911,32675.08929,25000,36372.19736
155,2,423.4873184,635.2016,1243.275508,1630.493477,36.26934911,32675.08929,25000,35848.3733
155,3,513.6924671,513.8448,1081.117328,1560.106169,34.70362566,31264.52763,25000,6264.527625
156,1,640.9835499,950.2659,1025.779277,1630.493477,36.26934911,32675.08929,10045.82476,59001.46189
156,2,0,1051.2649,1257.176815,1229.820202,27.3566125,24645.59685,25000,35493.97015
156,3,281.2051865,467.8313,865.5434284,1121.794959,24.95365579,22480.77098,23042.32856,5702.970043
157,1,554.4354185,1054.0853,1112.327408,1630.493477,36.26934911,32675.08929,25000,66676.55118
157,2,0,1233.2751,1302.481771,1274.139306,28.34246438,25533.7517,25000,36027.72185
157,3,353.8388779,850.8347,876.0899243,1203.165116,26.76368611,24111.42893,25000,4814.39897
158,1,149.972,149.972,907.0647192,1034.035226,23.00149318,20722.06593,25000,62398.61711
158,2,536.8168245,1131.0829,1129.946002,1630.493477,36.26934911,32675.08929,25000,43702.81114
158,3,226.6537679,650.5467,803.0177697,1007.26552,22.40601714,20185.60103,25000,0
159,1,247.0796,247.0796,941.549843,1162.764446,25.86499743,23301.79949,25000,60700.4166
159,2,0,1051.9946,979.4596241,958.146236,21.31338813,19201.25057,25000,37904.06171
159,3,0,249.1122,707.7303795,692.3299159,15.40046358,13874.29151,6256.639328,7617.652187
160,1,0,0,771.5372682,754.7483441,16.78892407,15125.15682,25000,50825.57341
160,2,0,815.188,813.9187694,796.2076089,17.71116053,15956.00048,25000,28860.06219
160,3,111.132587,261.4611,775.5444444,867.3826254,19.29440607,17382.34781,25000,0
161,1,0,0,677.9380843,663.1859116,14.75217269,13290.24567,25000,39115.81908
161,2,0,390.9861,755.382024,738.9446438,16.43738023,14808.45066,25000,18668.51285
161,3,294.9965268,375.515,857.7886507,1127.700164,25.08501353,22599.11129,12160.31614,10438.79515
162,1,0,0,373.0131147,364.8962173,8.116897416,7312.520194,25000,21428.33928
162,2,247.8349832,343.8913,907.7294148,1130.418908,25.14549035,22653.59491,25000,16322.10776
162,3,0,0,742.769966,726.6070286,16.16293739,14561.20485,25000,0
163,1,0,0,704.0901763,688.7689248,15.32125147,13802.92925,25000,10231.26853
163,2,277.0427262,367.3865,933.1650839,1183.87326,26.33455034,23724.82013,25000,15046.92788
163,3,0,0,631.2038718,617.4686521,13.73521969,12374.07179,12374.07179,0
164,1,0,0,753.3559401,736.9626482,16.39329193,14768.73147,25000,0
164,2,159.1447,159.1447,887.0381923,1023.417582,22.76531007,20509.28835,25000,10556.21623
164,3,0,0,725.0361864,709.2591423,15.77704406,14213.55321,6907.357671,7306.19554
165,1,0,0,779.256354,762.2994599,16.95689411,15276.48118,9272.24528,6004.235898
165,2,0,90.0876,736.7802931,720.7476931,16.03259998,14443.78377,25000,0
165,3,0,0,657.0164098,642.7195002,14.29690965,12880.09878,0,20186.29432
166,1,7.718185874,7.7366,961.2595326,947.8924203,21.08529815,18995.7641,25000,0
166,2,351.5285788,833.5239,923.7264112,1247.50499,27.75,25000,25000,0
166,3,0,0,784.5711347,767.4985891,17.07254562,15380.67173,25000,10566.96605
167,1,198.6681576,453.895,1076.586832,1247.50499,27.75,25000,25000,0
167,2,200.0776455,988.0428,1075.177345,1247.50499,27.75,25000,25000,0
167,3,0,0,736.2319426,720.211275,16.02066768,14433.03395,25000,0
168,1,97.68844632,477.7642,1177.566544,1247.50499,27.75,25000,25000,0
168,2,191.5446521,1062.7963,1083.710338,1247.50499,27.75,25000,25000,0
168,3,98.82686163,98.8771,923.0306975,999.6215769,22.23598221,20032.4164,20032.4164,0
